match_id,match_venue,match_innings,batting_team,bowling_team,total_score,run_rate
336020.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Deccan Chargers,48.0,8.0
336020.0,Feroz Shah Kotla,2.0,Deccan Chargers,Delhi Daredevils,71.0,11.833333333333334
336021.0,Wankhede Stadium,1.0,Kolkata Knight Riders,Mumbai Indians,27.0,4.5
336023.0,Sawai Mansingh Stadium,1.0,Rajasthan Royals,Royal Challengers Bangalore,119.0,19.833333333333332
336023.0,Sawai Mansingh Stadium,2.0,Royal Challengers Bangalore,Rajasthan Royals,23.0,3.8333333333333335
336022.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Kings XI Punjab,68.0,11.333333333333334
336022.0,Feroz Shah Kotla,2.0,Kings XI Punjab,Delhi Daredevils,73.0,12.166666666666666
336024.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Mumbai Indians,Deccan Chargers,57.0,9.5
336024.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Deccan Chargers,Mumbai Indians,28.0,4.666666666666667
336025.0,Eden Gardens,1.0,Kolkata Knight Riders,Chennai Super Kings,35.0,5.833333333333333
336025.0,Eden Gardens,2.0,Chennai Super Kings,Kolkata Knight Riders,43.0,7.166666666666667
336026.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Delhi Daredevils,41.0,6.833333333333333
336026.0,M Chinnaswamy Stadium,2.0,Delhi Daredevils,Royal Challengers Bangalore,71.0,11.833333333333334
336027.0,Eden Gardens,1.0,Kolkata Knight Riders,Rajasthan Royals,32.0,5.333333333333333
336027.0,Eden Gardens,2.0,Rajasthan Royals,Kolkata Knight Riders,42.0,7.0
336028.0,Wankhede Stadium,1.0,Kings XI Punjab,Mumbai Indians,43.0,7.166666666666667
336028.0,Wankhede Stadium,2.0,Mumbai Indians,Kings XI Punjab,68.0,11.333333333333334
336029.0,"MA Chidambaram Stadium, Chepauk",1.0,Royal Challengers Bangalore,Chennai Super Kings,23.0,3.8333333333333335
336029.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Royal Challengers Bangalore,44.0,7.333333333333333
336031.0,"Punjab Cricket Association Stadium, Mohali",1.0,Deccan Chargers,Kings XI Punjab,42.0,7.0
336031.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Deccan Chargers,74.0,12.333333333333334
336032.0,Feroz Shah Kotla,1.0,Mumbai Indians,Delhi Daredevils,60.0,10.0
336032.0,Feroz Shah Kotla,2.0,Delhi Daredevils,Mumbai Indians,56.0,9.333333333333334
336033.0,"MA Chidambaram Stadium, Chepauk",1.0,Rajasthan Royals,Chennai Super Kings,67.0,11.166666666666666
336033.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Rajasthan Royals,65.0,10.833333333333334
336002.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Royal Challengers Bangalore,41.0,6.833333333333333
336002.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Royal Challengers Bangalore,Deccan Chargers,43.0,7.166666666666667
336035.0,Eden Gardens,1.0,Kings XI Punjab,Kolkata Knight Riders,47.0,7.833333333333333
336035.0,Eden Gardens,2.0,Kolkata Knight Riders,Kings XI Punjab,51.0,8.5
336036.0,Sawai Mansingh Stadium,1.0,Mumbai Indians,Rajasthan Royals,29.0,4.833333333333333
336036.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Mumbai Indians,35.0,5.833333333333333
336037.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Chennai Super Kings,26.0,4.333333333333333
336037.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Chennai Super Kings,Deccan Chargers,44.0,7.333333333333333
336012.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Mumbai Indians,36.0,6.0
336012.0,M Chinnaswamy Stadium,2.0,Mumbai Indians,Royal Challengers Bangalore,39.0,6.5
336019.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Rajasthan Royals,51.0,8.5
336019.0,"Punjab Cricket Association Stadium, Mohali",2.0,Rajasthan Royals,Kings XI Punjab,38.0,6.333333333333333
336038.0,Wankhede Stadium,1.0,Rajasthan Royals,Delhi Daredevils,58.0,9.666666666666666
336038.0,Wankhede Stadium,2.0,Delhi Daredevils,Rajasthan Royals,28.0,4.666666666666667
336039.0,Wankhede Stadium,1.0,Kings XI Punjab,Chennai Super Kings,35.0,5.833333333333333
336039.0,Wankhede Stadium,2.0,Chennai Super Kings,Kings XI Punjab,35.0,5.833333333333333
336040.0,Dr DY Patil Sports Academy,1.0,Chennai Super Kings,Rajasthan Royals,42.0,7.0
336040.0,Dr DY Patil Sports Academy,2.0,Rajasthan Royals,Chennai Super Kings,41.0,6.833333333333333
392182.0,Newlands,1.0,Royal Challengers Bangalore,Rajasthan Royals,29.0,4.833333333333333
392182.0,Newlands,2.0,Rajasthan Royals,Royal Challengers Bangalore,14.0,2.3333333333333335
392181.0,Newlands,1.0,Mumbai Indians,Chennai Super Kings,40.0,6.666666666666667
392181.0,Newlands,2.0,Chennai Super Kings,Mumbai Indians,40.0,6.666666666666667
392183.0,Newlands,1.0,Kings XI Punjab,Delhi Daredevils,67.0,11.166666666666666
392184.0,Newlands,1.0,Kolkata Knight Riders,Deccan Chargers,75.0,12.5
392184.0,Newlands,2.0,Deccan Chargers,Kolkata Knight Riders,37.0,6.166666666666667
392185.0,St George's Park,1.0,Chennai Super Kings,Royal Challengers Bangalore,68.0,11.333333333333334
392185.0,St George's Park,2.0,Royal Challengers Bangalore,Chennai Super Kings,46.0,7.666666666666667
392186.0,Kingsmead,1.0,Kings XI Punjab,Kolkata Knight Riders,46.0,7.666666666666667
392186.0,Kingsmead,2.0,Kolkata Knight Riders,Kings XI Punjab,60.0,10.0
392188.0,Newlands,1.0,Deccan Chargers,Royal Challengers Bangalore,62.0,10.333333333333334
392188.0,Newlands,2.0,Royal Challengers Bangalore,Deccan Chargers,31.0,5.166666666666667
392189.0,Kingsmead,1.0,Delhi Daredevils,Chennai Super Kings,59.0,9.833333333333334
392189.0,Kingsmead,2.0,Chennai Super Kings,Delhi Daredevils,60.0,10.0
392190.0,Newlands,1.0,Rajasthan Royals,Kolkata Knight Riders,50.0,8.333333333333334
392190.0,Newlands,2.0,Kolkata Knight Riders,Rajasthan Royals,38.0,6.333333333333333
392191.0,Kingsmead,1.0,Royal Challengers Bangalore,Kings XI Punjab,49.0,8.166666666666666
392191.0,Kingsmead,2.0,Kings XI Punjab,Royal Challengers Bangalore,44.0,7.333333333333333
392192.0,Kingsmead,1.0,Deccan Chargers,Mumbai Indians,55.0,9.166666666666666
